答卷编号,IP地址,来源,昵称(微信),性别(微信),城市(微信),分值,开始时间,结束时间,状态
1,142.177.216.158,,,,,93,2015-03-22 08:01:29,2015-03-22 08:02:27,正常完成
2,142.177.216.158,,,,,100,2015-03-22 08:14:42,2015-03-22 08:15:15,正常完成
3,142.177.216.158,,,,,193,2015-03-22 09:48:31,2015-03-22 09:49:09,正常完成
4,142.177.216.158,,,,,93,2015-03-22 10:28:27,2015-03-22 10:29:55,正常完成
5,142.177.216.158,,,,,64,2015-03-22 10:33:21,2015-03-22 10:33:57,正常完成
6,142.177.216.158,,,,,0,2015-03-22 10:42:04,2015-03-22 10:43:28,正常完成
7,142.177.216.158,,,,,0,2015-03-22 10:48:46,2015-03-22 10:49:20,正常完成
8,142.177.216.158,,,,,78,2015-03-22 10:54:08,2015-03-22 10:54:36,正常完成
9,142.177.216.158,,,,,155,2015-03-22 10:56:11,2015-03-22 10:56:44,正常完成
10,140.206.254.158,,,,,66,2015-03-22 11:02:19,2015-03-22 11:03:23,正常完成
11,223.104.5.234,,,,,49,2015-03-22 11:06:44,2015-03-22 11:07:47,正常完成
12,140.206.254.158,,,,,60,2015-03-22 11:07:33,2015-03-22 11:08:35,正常完成
13,114.81.254.160,,,,,77,2015-03-22 11:09:28,2015-03-22 11:11:48,正常完成
14,27.223.6.66,,,,,69,2015-03-22 11:10:47,2015-03-22 11:11:56,正常完成
15,122.4.76.133,,,,,49,2015-03-22 11:10:26,2015-03-22 11:11:58,正常完成
16,61.51.131.142,,,,,134,2015-03-22 11:10:35,2015-03-22 11:11:59,正常完成
17,123.116.35.139,,,,,179,2015-03-22 11:13:14,2015-03-22 11:14:29,正常完成
18,123.116.35.139,,,,,179,2015-03-22 11:16:13,2015-03-22 11:17:33,正常完成
19,117.136.0.136,,,,,192,2015-03-22 11:17:30,2015-03-22 11:19:06,正常完成
20,140.206.254.158,,,,,54,2015-03-22 11:18:34,2015-03-22 11:19:09,正常完成
21,119.184.121.211,,,,,150,2015-03-22 11:18:03,2015-03-22 11:19:18,正常完成
22,101.226.125.121,,,,,194,2015-03-22 11:19:26,2015-03-22 11:20:10,正常完成
23,219.147.6.238,,,,,164,2015-03-22 11:18:09,2015-03-22 11:20:15,正常完成
24,220.189.252.244,,,,,145,2015-03-22 11:19:44,2015-03-22 11:21:42,正常完成
25,101.224.88.70,,,,,36,2015-03-22 11:20:33,2015-03-22 11:21:57,正常完成
26,219.133.40.16,,,,,144,2015-03-22 11:21:16,2015-03-22 11:22:30,正常完成
27,101.226.125.113,,,,,170,2015-03-22 11:23:18,2015-03-22 11:23:42,正常完成
28,220.181.77.237,,,,,94,2015-03-22 11:21:03,2015-03-22 11:24:03,正常完成
29,101.226.125.15,,,,,175,2015-03-22 11:23:24,2015-03-22 11:25:08,正常完成
30,27.219.152.89,,,,,152,2015-03-22 11:24:08,2015-03-22 11:25:47,正常完成
31,123.151.42.46,,,,,174,2015-03-22 11:24:33,2015-03-22 11:26:24,正常完成
32,112.242.121.17,,,,,165,2015-03-22 11:23:35,2015-03-22 11:26:52,正常完成
33,117.136.40.177,,,,,184,2015-03-22 11:26:37,2015-03-22 11:27:28,正常完成
34,222.125.46.248,,,,,145,2015-03-22 11:24:48,2015-03-22 11:27:57,正常完成
35,223.104.2.199,,,,,152,2015-03-22 11:26:23,2015-03-22 11:29:49,正常完成
36,101.226.125.15,,,,,190,2015-03-22 11:28:10,2015-03-22 11:30:24,正常完成
37,153.0.0.226,,,,,64,2015-03-22 11:29:23,2015-03-22 11:31:04,正常完成
38,101.226.125.114,,,,,165,2015-03-22 11:30:59,2015-03-22 11:32:05,正常完成
39,101.226.125.109,,,,,80,2015-03-22 11:30:37,2015-03-22 11:32:51,正常完成
40,106.39.255.180,,,,,32,2015-03-22 11:30:59,2015-03-22 11:32:52,正常完成
41,130.220.8.137,,,,,55,2015-03-22 11:34:41,2015-03-22 11:36:03,正常完成
42,101.226.125.117,,,,,69,2015-03-22 11:34:31,2015-03-22 11:36:07,正常完成
